Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	66896	1	OK	0.5955278	-0.5658571	0.4193870	0.3863508	-81.288	96.354	394.147	0.2558253	0
1	Port 2: NDI 8700340  s/n:34802401	66897	1	OK	0.5921281	-0.5687962	0.4207015	0.3858309	-81.644	96.405	392.568	0.2558789	0
1	Port 2: NDI 8700340  s/n:34802401	66898	1	OK	0.5884662	-0.5719813	0.4221613	0.3851295	-82.272	96.250	391.149	0.2769759	0
1	Port 2: NDI 8700340  s/n:34802401	66899	1	OK	0.5850379	-0.5753114	0.4227212	0.3847781	-82.790	96.089	389.679	0.2897924	0
1	Port 2: NDI 8700340  s/n:34802401	66900	1	OK	0.5821011	-0.5791860	0.4230636	0.3830392	-83.450	95.968	388.323	0.2690015	0
1	Port 2: NDI 8700340  s/n:34802401	66901	1	OK	0.5784159	-0.5826752	0.4240942	0.3821895	-84.038	95.894	387.014	0.2716977	0
1	Port 2: NDI 8700340  s/n:34802401	66902	1	OK	0.5757478	-0.5863160	0.4237458	0.3810348	-84.774	95.756	385.550	0.2621384	0
1	Port 2: NDI 8700340  s/n:34802401	66903	1	OK	0.5726928	-0.5900305	0.4235506	0.3801207	-85.533	95.433	384.296	0.2720392	0
1	Port 2: NDI 8700340  s/n:34802401	66904	1	OK	0.5693118	-0.5933659	0.4238691	0.3796524	-86.095	95.473	383.005	0.2683102	0
1	Port 2: NDI 8700340  s/n:34802401	66905	1	OK	0.5662932	-0.5970401	0.4232683	0.3790767	-86.836	95.286	381.795	0.2565247	0
1	Port 2: NDI 8700340  s/n:34802401	66906	1	OK	0.5634075	-0.6010766	0.4224700	0.3778863	-87.678	95.099	380.644	0.2634122	0
1	Port 2: NDI 8700340  s/n:34802401	66907	1	OK	0.5596553	-0.6041887	0.4230230	0.3778804	-88.506	95.058	379.561	0.2794810	0
1	Port 2: NDI 8700340  s/n:34802401	66908	1	OK	0.5566828	-0.6075269	0.4223535	0.3776677	-89.539	94.868	378.460	0.2828460	0
1	Port 2: NDI 8700340  s/n:34802401	66909	1	OK	0.5536214	-0.6106961	0.4210550	0.3785053	-90.478	94.602	377.402	0.2626700	0
1	Port 2: NDI 8700340  s/n:34802401	66910	1	OK	0.5509893	-0.6142400	0.4193850	0.3784656	-91.408	94.539	376.409	0.2460524	0
1	Port 2: NDI 8700340  s/n:34802401	66911	1	OK	0.5484195	-0.6175794	0.4176449	0.3786879	-92.546	94.442	375.564	0.2570299	0
1	Port 2: NDI 8700340  s/n:34802401	66912	1	OK	0.5453113	-0.6206164	0.4164282	0.3795503	-93.756	94.313	374.786	0.2981538	0
